Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved,Resource_Depletion_Events,Resource_Depleted_Ticks
90,2,1089.483042577354,204.67291943167103,36.749333333329346,2.0,6.833333333333333,167.93333333333334,209.25699999999745,0.0,3.5,1014.0
91,2,1057.3724546156175,211.00865061164936,39.65299999999574,3.0,6.8,163.73333333333335,229.54199999999722,0.0,3.0,900.0
92,2,1093.5222327394285,210.0302471012991,41.06699999999594,2.5,6.800000000000001,173.86666666666667,227.683999999999,0.0,3.0,900.0
93,2,1077.7491033964675,209.31651731886174,36.8549999999956,2.0,6.9,161.06666666666666,219.11699999999826,0.0,3.0,900.0
94,2,1221.0974497142954,177.0456261809599,32.39999999999579,3.5,5.366666666666667,140.0,212.09799999999558,0.0,3.0,776.5
95,2,1151.010663358715,195.7056055061825,40.990999999995715,4.0,6.1,169.03333333333333,224.3359999999982,0.0,3.0,900.0
96,2,1285.113110505744,170.72892346201837,46.44666666666226,3.5,5.466666666666667,186.66666666666666,187.33099999999598,0.0,4.0,1126.5
97,2,1363.4487698707846,146.33407949486678,34.225333333329374,3.5,4.566666666666666,149.13333333333333,178.1889999999957,0.5,3.0,900.0
98,2,1233.0410238584125,184.0078890298694,40.40099999999599,3.5,5.666666666666666,174.66666666666669,215.3029999999964,0.0,3.0,900.0
99,2,1326.976237079523,175.03525311158572,37.3266666666623,1.5,5.366666666666667,160.39999999999998,206.29499999999635,0.0,3.0,900.0
100,2,1435.2009661658856,152.5696165411953,44.42099999999551,2.0,4.633333333333333,180.03333333333333,183.0629999999959,0.0,3.5,1018.5
101,2,1307.9016238376798,178.94543316852977,41.082666666662675,2.5,5.433333333333334,177.0,214.2839999999964,0.0,3.5,1002.0
102,2,1327.285102503728,164.58001677175264,42.37733333332919,3.0,5.2,176.63333333333333,185.03999999999644,0.0,3.5,1050.0
103,2,1172.4146658621326,193.55991337815425,37.854666666662666,4.0,6.0,163.33333333333331,224.12099999999748,0.0,3.5,1038.0
104,2,1377.995792682025,137.6262598012505,44.673999999995814,4.5,4.366666666666667,174.7,154.38999999999515,0.0,3.5,928.0
105,2,1234.1468341292375,168.15918938978166,32.90399999999591,4.0,5.166666666666666,140.0,197.7849999999969,0.0,3.0,678.5
106,2,1434.7303378050153,129.45791321235754,36.380666666663075,3.5,4.1,163.46666666666667,145.92699999999564,0.0,3.0,900.0
107,2,1248.5268284408367,170.0763395575088,28.262666666662845,3.5,5.166666666666667,132.66666666666666,203.39499999999632,0.0,2.5,716.5
108,2,1158.0166921256202,173.06396724287646,24.67233333332954,5.0,5.366666666666667,117.1,200.59499999999588,0.0,2.5,715.0
109,2,1387.546447726928,145.4202730872359,44.30033333332915,3.5,4.4,172.2,175.55299999999374,0.0,3.0,900.0
110,2,1223.6273904226102,180.0972407484486,41.059999999996066,3.5,5.566666666666666,169.73333333333335,209.726999999996,0.0,3.0,900.0
111,2,1303.2915901357042,170.20508290595203,42.74333333332973,3.5,5.1,177.60000000000002,207.9449999999956,0.0,3.0,900.0
112,2,1375.3040375512983,154.5600846864716,48.575999999995716,3.5,4.7,186.66666666666666,185.11999999999614,0.0,4.0,999.5
113,2,1365.605359035118,160.74131015982218,39.91766666666268,2.5,4.933333333333334,169.46666666666667,189.51399999999487,0.0,3.5,1029.5
114,2,1273.7542950891232,178.15080457059224,37.74499999999567,3.5,5.4,160.5,213.96299999999695,0.0,3.0,900.0
115,2,1408.9735630153266,164.5672880959695,45.94799999999571,1.0,5.166666666666667,187.63333333333333,187.084999999997,0.0,4.0,1078.5
116,2,1385.5500668394925,143.16994150849203,31.444999999995915,3.0,4.466666666666667,141.83333333333331,165.1199999999958,0.0,3.0,827.0
117,2,1081.328021937057,199.34316136195645,30.075666666663025,3.5,6.366666666666667,144.03333333333333,219.5809999999978,0.0,3.0,825.0
118,2,1253.1782838372815,179.27873582758113,37.065333333329264,2.5,5.533333333333333,157.53333333333333,209.11699999999692,0.0,3.0,834.0
119,2,1277.935881678397,181.45895774526167,39.22666666666236,2.0,5.666666666666666,170.33333333333334,208.493999999997,0.0,3.5,1050.0
120,2,1412.1108999326277,170.22771799518665,42.942999999995486,1.0,5.066666666666666,177.9,210.53099999999662,0.0,3.0,900.0
121,2,1416.2703960131535,152.63475458010302,36.109333333328934,3.0,4.533333333333333,158.23333333333335,189.56199999999373,0.0,3.0,900.0
122,2,1328.7308413733067,169.61184217297398,38.70599999999623,2.5,5.133333333333333,163.33333333333331,204.51299999999662,0.0,3.5,819.5
123,2,1240.5887150916542,187.19157975621462,42.835999999996034,3.0,5.733333333333333,179.93333333333334,221.49399999999665,0.0,3.5,945.0
124,2,1150.5957419738058,205.14688950779703,44.01833333332873,2.5,6.466666666666667,179.5,231.27899999999832,0.0,3.5,908.0
125,2,1214.2976294530647,195.10222953814284,48.750666666662184,2.5,6.1,190.8,223.16099999999764,0.0,4.0,1115.5
126,2,1258.7776830663722,168.70917762405398,40.52766666666241,3.5,5.333333333333333,165.6,190.33099999999496,0.0,3.5,919.0
127,2,1350.5814785123337,155.5667775449593,46.52333333332929,3.5,5.0,183.9,171.0279999999963,0.0,3.5,1050.0
128,2,1103.3716637565474,202.51425416551717,32.26199999999582,3.0,6.433333333333334,143.8,225.42999999999702,0.0,3.0,900.0
129,2,1300.8301056254272,172.35167614629478,36.478999999995935,2.0,5.4,164.23333333333335,196.32499999999624,0.0,3.0,900.0
130,2,1373.303652756133,147.11901538114228,40.27033333332905,4.0,4.6,165.96666666666667,178.910999999996,0.5,3.0,900.0
131,2,1351.4473251610264,176.3799134908759,44.94933333332857,1.5,5.4,182.33333333333331,208.60599999999647,0.0,3.5,941.0
132,2,1485.4312360505587,127.14177282743188,51.298666666662385,3.5,4.066666666666666,196.56666666666666,141.394999999995,0.0,4.0,1110.5
133,2,1458.4591361964233,113.81275217737499,31.70333333332971,5.0,3.5666666666666664,141.66666666666666,133.4699999999938,0.0,3.0,845.5
134,2,1481.2847735524545,108.75866268009379,36.85066666666306,4.5,3.5666666666666664,163.33333333333331,128.80399999999395,0.5,3.5,912.0
135,2,1598.700018565174,112.70927102342044,45.334333333328985,2.0,3.666666666666667,184.13333333333333,134.61399999999483,0.5,3.5,1050.0
136,2,1474.3669750249517,135.53299674023842,36.86399999999573,3.0,4.2,163.33333333333331,160.51399999999384,0.0,3.5,923.0
137,2,1529.3872896286703,130.07206371651614,44.70666666666238,2.0,4.133333333333334,186.66666666666666,147.62399999999462,0.0,4.0,1040.0
138,2,1407.1704436110365,130.4081925599367,28.37299999999605,4.5,4.066666666666666,131.16666666666666,154.97299999999387,0.0,2.5,697.0
139,2,1497.9600022216387,135.43831113935386,36.15366666666232,1.5,4.366666666666667,164.13333333333333,160.68199999999558,0.5,3.5,991.0
140,2,1366.5288801320164,138.39572898674973,37.97799999999617,4.0,4.466666666666667,163.33333333333331,154.28599999999517,0.0,3.5,975.5
141,2,1609.9052093716623,109.83313030883163,42.12199999999604,2.5,3.533333333333333,184.06666666666666,124.72499999999374,0.0,3.5,989.5
142,2,1414.201689770534,130.14430531519164,35.083666666663035,4.0,4.1,164.46666666666667,151.19199999999478,0.0,3.5,1029.0
