Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved,Resource_Depletion_Events,Resource_Depleted_Ticks
80,2,1422.0881151681465,20.591088167784896,14.835333333330233,10.5,1.5666666666666667,66.66666666666667,29.983999999994655,2.5,2.5,792.0
81,2,1414.9452788127048,64.77542184009424,23.590666666663473,8.5,2.533333333333333,106.66666666666667,75.99599999999363,1.0,4.0,1263.5
82,2,1482.9365148443346,43.410244554001075,16.03999999999653,8.0,2.0,80.0,53.985999999994306,1.5,3.0,1007.5
83,2,1563.7792233055116,47.42301690599445,21.96533333332976,6.5,2.2333333333333334,105.33333333333334,59.99399999999398,2.0,3.5,1384.5
84,2,1486.3812343257196,40.20378820531437,17.018999999996694,8.0,1.8666666666666667,81.56666666666666,51.97999999999441,1.5,3.0,1118.5
85,2,1434.952295617085,84.86280857837929,23.79933333332979,6.0,3.0666666666666664,106.66666666666667,110.73599999999531,1.5,4.0,1296.5
86,2,1477.6211606838835,68.80375257113141,18.814999999996367,6.0,2.7,93.5,83.2259999999946,1.5,3.5,1242.5
87,2,1442.425663761173,54.368951536498685,15.446666666663287,7.5,2.3,77.93333333333334,52.38799999999431,1.0,2.5,1000.0
88,2,1344.9593304922669,119.36261552443031,23.42133333332969,5.0,3.8000000000000003,106.66666666666667,149.16999999999484,0.5,4.0,1241.0
89,2,1291.6131507035313,106.88967260941702,16.646333333329853,7.5,3.633333333333333,87.76666666666667,120.18899999999537,0.5,3.0,1030.5
90,2,1478.9056963579171,48.6841232658845,15.870999999996945,7.5,2.0,79.3,53.98599999999406,1.0,2.5,920.0
91,2,1308.4084675267263,97.7954661135096,13.823333333329941,8.0,3.2666666666666666,76.46666666666667,113.79799999999395,0.5,2.5,916.0
92,2,1501.9118065052319,61.750823753974025,19.22566666666301,7.5,2.333333333333333,93.83333333333334,61.99799999999385,0.5,3.5,1353.0
93,2,1389.5296343991624,89.7535718906803,20.242333333329768,6.0,3.1666666666666665,98.43333333333334,105.78199999999391,1.0,3.5,1256.5
94,2,1436.0313547958235,69.65851336647991,15.233999999996712,6.5,2.6333333333333333,80.0,77.95799999999406,1.0,3.0,967.0
95,2,1297.013978765601,128.7189719466946,15.149666666663165,5.5,3.9333333333333336,84.83333333333334,155.89499999999373,0.0,2.5,1000.0
96,2,1463.2812759085077,46.42051223877424,18.096999999996555,8.0,2.0666666666666664,85.03333333333333,51.99199999999402,1.5,3.0,1075.5
97,2,1394.9091208827017,53.83641178488446,17.115999999997,9.0,2.2,80.0,55.99599999999418,1.0,3.0,882.0
98,2,1543.6019678982918,52.284245811013044,17.44133333332994,7.0,2.166666666666667,93.33333333333334,53.995999999994,1.0,3.5,1265.5
99,2,1251.0788969263328,110.2846818690267,15.334999999996676,8.0,3.6333333333333333,82.8,127.56899999999408,0.5,3.0,1200.0
100,2,1501.074217023753,79.70124188351102,18.975999999996404,6.0,2.8,98.6,86.42599999999435,0.5,3.5,1239.5
101,2,1409.2603813461965,94.7168047248408,14.276999999996605,6.0,3.1,81.7,102.60399999999422,0.0,3.0,1149.0
102,2,1367.6477240165746,83.2318342789837,19.857999999996796,7.5,2.9333333333333336,93.33333333333334,97.99799999999377,1.0,3.5,1205.0
103,2,1500.2623133699735,72.88975837913536,15.429999999996507,5.5,2.6333333333333333,85.6,85.30599999999444,1.0,3.0,1200.0
